Queryila	Hitita	Kailavsita	Ksilavsita	KaKsilavsita	NJtree	Ath_annotation	Annotated_EST	Viridiplantae_annotation
ila33702	ita23070	0.0651	0.1289	0.505042668735454	(ila,ita)	none	ila33702	694052	
ila228552	ita8895	0.0002	0.1663	0.00120264582080577	(ita,ila)	AT2G44740.1	ita8895	708757	
ila24228	ita18133	0.0139	0.0969	0.143446852425181	(ita,ila)	none	ita18133	706888	
ila232791	ita35167	1.3379	76.4736	0.0174949263536698	(ila,ita)	AT3G21630.1	ila232791	693212	
ila222240	ita29971	0.0045	0.1358	0.0331369661266568	(ita,ila)	AT3G21180.1	ita29971	697418	
ila24073	ita15237	0.0450	0.2312	0.194636678200692	(ita,ila)	none	ita15237	844870	
ila16599	ita27760	0.0042	0.1349	0.0311341734618236	(ita,ila)	AT5G26360.1	ita27760	705171	
ila28139	ita37942	0.0604	0.0946	0.638477801268499	(ila,ita)	none	ila28139	538239	
ila14693	ita10538	0.0159	0.1022	0.155577299412916	(ila,ita)	AT1G61790.1	ila14693	698363	
ila10100	ita2700	0.0553	0.1591	0.347580138277813	(ila,ita)	AT3G02660.1	ila10100	701553	
ila22340	ita36747	0.0745	0.2451	0.303957568339453	(ila,ita)	none	ila22340	45820	
ila231006	ita19702	0.0157	0.0745	0.210738255033557	(ita,ila)	AT5G58760.1	ita19702	701620	
ila222096	ita18193	0.0110	0.2299	0.0478468899521531	(ila,ita)	none	ila222096	661233	
ila17170	ita13048	0.0314	0.1596	0.196741854636591	(ila,ita)	AT5G45390.1	ila17170	694526	
ila229996	ita39220	0.0565	0.1689	0.334517465956187	(ila,ita)	none	ila229996	860777	
ila36187	ita27477	0.0270	0.0847	0.318772136953955	(ila,ita)	none	ila36187	564909	
ila34991	ita38844	0.0398	0.0594	0.67003367003367	(ita,ila)	none	ita38844	696596	
ila5960	ita5982	0.0130	0.0712	0.182584269662921	(ita,ila)	none	ita5982	183506	
ila226197	ita34200	0.0387	0.1090	0.355045871559633	(ila,ita)	none	ila226197	439282	
ila221431	ita12993	0.0083	0.1771	0.0468661773009599	(ita,ila)	AT5G37020.1	ita12993	709435	
ila35514	ita24931	0.0170	0.2123	0.0800753650494583	(ita,ila)	none	ita24931	864086	
ila36105	ita10060	0.0067	0.1562	0.0428937259923175	(ila,ita)	AT5G19350.1	ila36105	564946	
ila230057	ita5362	0.0094	0.1305	0.0720306513409962	(ita,ila)	AT3G61420.1	ita5362	547212	
ila4516	ita14672	0.0001	0.1107	0.000903342366757001	(ita,ila)	AT5G19780.1	ita14672	555192	
ila29036	ita5983	0.0075	0.1125	0.0666666666666667	(ita,ila)	AT3G14790.1	ita5983	695997	
ila34806	ita11493	0.0148	0.0805	0.183850931677019	(ila,ita)	AT3G59820.1	ila34806	836618	
ila227850	ita27182	0.0328	0.1425	0.230175438596491	(ila,ita)	none	ila227850	780538	
ila20542	ita21225	0.0162	0.0563	0.287744227353464	(ila,ita)	none	ila20542	571634	
ila10394	ita25503	0.0998	0.2231	0.447333034513671	(ila,ita)	none	ila10394	675524	
ila31704	ita33745	0.0051	0.1097	0.0464904284412033	(ila,ita)	AT5G57020.1	ila31704	628172	
ila232718	ita9088	0.0301	0.0782	0.384910485933504	(ila,ita)	none	ila232718	695473	
ila19433	ita21692	0.0201	0.1037	0.193828351012536	(ita,ila)	AT4G25730.1	ita21692	562669	
ila23031	ita13619	0.0079	0.0841	0.093935790725327	(ila,ita)	AT1G32130.1	ila230313	561309	
ila5534	ita36654	0.0924	0.2568	0.35981308411215	(ita,ila)	none	ita36654	699699	
ila10440	ita27185	0.0247	0.1301	0.189853958493467	(ila,ita)	none	ila10440	701314	
ila30647	ita8569	0.0258	0.1031	0.250242483026188	(ila,ita)	none	ila30647	553049	
ila1893	ita4407	0.0040	0.0797	0.0501882057716437	(ita,ila)	AT2G44100.1	ita4407	689697	
ila218683	ita35064	0.0361	0.0735	0.491156462585034	(ila,ita)	AT1G23090.1	ila218683	698940	
ila212043	ita29630	0.0288	0.1089	0.264462809917355	(ila,ita)	none	ila212043	666352	
ila8142	ita7551	0.0065	0.1322	0.0491679273827534	(ita,ila)	AT4G21580.2	ita7551	379885	
ila2954	ita11588	0.0406	0.1212	0.334983498349835	(ita,ila)	AT1G70330.1	ita11588	557992	
ila35600	ita15719	0.0232	0.0798	0.290726817042607	(ita,ila)	AT4G39680.1	ita15719	695356	
ila230922	ita16384	0.0211	0.0845	0.249704142011834	(ila,ita)	none	ila230922	597763	
ila23124	ita17693	0.0297	0.2842	0.104503870513723	(ita,ila)	none	ita17693	696213	
ila34385	ita37732	0.0253	0.0935	0.270588235294118	(ila,ita)	AT2G40730.1	ila34385	554401	
ila1978	ita32550	0.0610	0.2011	0.303331675783192	(ita,ila)	AT5G51300.3	ita32550	563643	
ila13926	ita5819	0.0048	0.1459	0.0328992460589445	(ita,ila)	AT5G49910.1	ita5819	128089	
ila223710	ita38522	0.0132	0.0413	0.319612590799031	(ita,ila)	none	ita38522	696554	
ila4679	ita24421	0.0315	0.0691	0.455861070911722	(ita,ila)	none	ita24421	570770	
ila224071	ita17380	0.0732	0.2945	0.248556876061121	(ita,ila)	none	ita17380	4172	
ila232504	ita2004	0.0293	0.1236	0.23705501618123	(ila,ita)	AT2G38680.1	ila232504	706780	
ila22701	ita17015	0.0056	0.1013	0.0552813425468904	(ita,ila)	AT2G39970.1	ita17015	699657	
ila10768	ita26069	0.0228	0.0595	0.383193277310924	(ita,ila)	AT1G68000.1	ita26069	709058	
ila219656	ita27833	0.1324	0.6404	0.206745783885072	(ila,ita)	none	ila219656	710045	
ila32830	ita19892	0.0922	0.1246	0.739967897271268	(ita,ila)	none	ita19892	115355	
ila32857	ita25467	0.0198	0.1584	0.125	(ila,ita)	AT2G32950.1	ila32857	702710	
ila35957	ita30118	0.0044	0.0431	0.102088167053364	(ila,ita)	none	ila35957	7614	
ila34578	ita17688	0.0232	0.2242	0.103479036574487	(ila,ita)	none	ila34578	583518	
ila226518	ita25235	0.0229	0.1521	0.150558842866535	(ita,ila)	none	ita25235	698891	
ila17284	ita9366	0.0108	0.1422	0.0759493670886076	(ita,ila)	AT2G38700.1	ita9366	558220	
ila27118	ita38134	0.0115	0.1236	0.093042071197411	(ita,ila)	AT2G01070.1	ita38134	708416	
ila2673	ita4919	0.0272	0.1075	0.253023255813953	(ila,ita)	AT3G06350.1	ila26737	699881	
ila227801	ita6463	0.0345	0.0735	0.469387755102041	(ila,ita)	none	ila227801	195996	
ila228428	ita3772	0.0121	0.1690	0.0715976331360947	(ita,ila)	none	ita37724	697357	
ila27888	ita18538	0.0536	0.1990	0.269346733668342	(ila,ita)	none	ila27888	699422	
ila21932	ita5701	0.0695	0.1137	0.611257695690413	(ila,ita)	none	ila219324	701294	
ila230852	ita21343	0.0369	0.0669	0.551569506726457	(ita,ila)	none	ita21343	697357	
ila17523	ita38603	0.0133	0.1097	0.121239744758432	(ila,ita)	AT5G07360.1	ila17523	706856	
ila232979	ita31931	0.0247	0.1756	0.140660592255125	(ita,ila)	none	ita31931	701800	
ila228613	ita36476	0.0215	0.0741	0.290148448043185	(ita,ila)	AT3G51030.1	ita36476	430834	
ila33511	ita21916	0.0036	0.1029	0.0349854227405248	(ita,ila)	AT3G13570.1	ita21916	852113	
ila16291	ita30858	0.0236	0.1589	0.148521082441787	(ila,ita)	AT5G22330.1	ila16291	109417	
ila17691	ita24434	0.0158	0.1217	0.129827444535744	(ita,ila)	AT3G18350.1	ita24434	704312	
ila1942	ita38641	0.0373	0.1317	0.283219438116932	(ila,ita)	none	ila19427	637852	
